Timestamp,2. What improvements could we implement to make your Pacific Symphony Subscriber experience better?,3. What did you enjoy most about being a Pacific Symphony subscriber?
2019/06/10 6:12:51 PM MDT,,
2019/06/10 6:15:27 PM MDT,,
2019/06/10 6:17:54 PM MDT,"Keep up the good work!
We are saddened to not attend your programs anymore!","Well selected programs
Fabulous musicians! Carl "
2019/06/10 6:19:39 PM MDT,"Have other soloists besides pianists and violinists.  More variety in composers, early Mahler instead of late Mahler.",The creative atmosphere
2019/06/10 6:24:37 PM MDT,"Carl could improve his microphone use a little. He holds the mic too close to his mouth and it often distorts. I'm not sure if someone in the control room is ""riding"" his mic, but they should. They need to listen to the chamber sound.",Variety. Education. Meeting other subscribers.
2019/06/10 6:26:38 PM MDT,"Selecting affordable, accessible seats for my mobility challenged mother was nearly impossible. We tried to do that in a lower priced tier and ended up with limited visibility seats. When I renewed our subscription online, I chose the movable seats on the Promenade Circle but when our tickets arrived those weren't our assigned seats. We were frustrated and disappointed. That seems like an unkind way to treat an 80 year old woman with poor balance and limited strength who can only manage a few steps at a time and finds shuffling along a row of seats over a steep drop to the next row very difficult and scary.  When my mother called she was told there was nothing to be done about it except upgrade. We went ahead and paid to upgrade so we could have accessible seats with better visibility. I'm really disappointed in how hard it is to get decent seats in a more affordable price range for someone with limited mobility.","I loved the shows where the Symphony played first and then the guest artist came out after intermission. I love the surprise of not knowing what is going to be selected, the words of introduction by the conductor and then enjoying music with which I may or may not be familiar. I also really enjoyed some of the less familiar performers, like Seth McFarland (last season, I know)."
2019/06/10 6:36:31 PM MDT,Too many repeat artists and offerings. Need more variety,Love the Pacific Symphony Pops Series
2019/06/10 6:43:40 PM MDT,None. Have loved every minute!,6 dates planned with one phone call; world class musicians and performances; leadership of Richard Kaufmann
2019/06/10 6:48:09 PM MDT,"The first couple of years were spectacular,  but I have grown tired of geezer concerts where the performer's voices are but hollow remembrances of their voices and one or two good records 50 years ago.  If I wanted raspy hollow voices, I would buy a dog and have him howl at the moon.  Also, padding of your schedule with providing the soundtrack to old movies, whether they were any good to begin with, is annoying.  A novelty when not overdone, but you guys overdid it years ago.","When you have great acts, like you did a couple of times in the past year as with Leslie Odam and the recent Music Man (which wasn't the My Fair Lady indicated on the tickets)."
2019/06/10 7:03:07 PM MDT,New artists that have not performed here before ,"Some great music and environment 
"
2019/06/10 7:04:01 PM MDT,,
2019/06/10 7:12:04 PM MDT,More of the types of artists youâ€™ve had the last 3-4 seasons,Having a regular event on my calendar 
2019/06/10 7:15:59 PM MDT,Hard to see a performance which only plays 2 nights,Enjoyed Pops concerts--very high quality performances
2019/06/10 7:21:08 PM MDT,,
