Timestamp,1. What improvements could we implement to make your Pacific Symphony Subscriber experience better?,2. What did you enjoy most about being a Pacific Symphony subscriber?
2019/06/10 6:01:26 PM MDT,,
2019/06/10 6:03:21 PM MDT,"Sorry, I have no ideas for improvement. You make the experience great. I love your new offices also. Beautiful and so convenient.","Great classical music pieces, fabulous musicians, great, teaching warm conductor"
2019/06/10 6:05:14 PM MDT,Lower the parking back down to $10,The quality of the music
2019/06/10 6:05:17 PM MDT,"Not sure, you do keep in touch so we're informed.","Being able to listen to both familiar and new works, widening my musical experience."
2019/06/10 6:07:08 PM MDT,"Have the concessions open 30 minutes before the 7:00 lectures begin. Even if the weather was awful, we were kept out on the landing and not allowed in to have a coffee or drink before the lecture.
Also, we  really object to the fact that people bring their beverages into the concert venue and sip them during the concert. ",Number one â€“ the music!   The program is always interesting and the lectures are fantastic beforehand. Also Carlâ€™s comments as the concert goes along are much appreciated. Number two - watching how much the players enjoy their jobs! The enthusiasm and the concentration and the interaction between players and between players and conductor is magical to watch.
2019/06/10 6:07:55 PM MDT,Announce before concert begins not to applaud between movements of piece.,The variety of artists and the quality of the orchestra.
2019/06/10 6:13:17 PM MDT,More seating in the lobby area,Same seats for all performances 
2019/06/10 6:18:12 PM MDT,None.,The whole experience 
2019/06/10 6:18:31 PM MDT,Canâ€™t think of anything ,Hoping our tickets help to keep the orchestra viable and classical music available to a broad audience.
2019/06/10 6:21:06 PM MDT,More frequent use of visual magnification,"Varied and exciting programs, always with our preferred seating"
2019/06/10 6:22:50 PM MDT,"Wider repertoir... with concertos for wind and brass;  more Vaughn Williams,  Britten, Debussy, Haydn, ",Outstanding music making that gets better all the time; wonderful family feel as a volunteer and donor
2019/06/10 6:24:47 PM MDT,More opportunities to meet performers.,"Getting to feel that we are part of t hff e family, so to speak."
2019/06/10 6:25:52 PM MDT,Always have cameras on the players it makes me feel part of the orchestra ,Everything ! Especially when the conductor explains the works 
2019/06/10 6:26:05 PM MDT,"Use the video screen in every performance; have one performance that's a ""viewers' choice""",The program selections/
2019/06/10 6:26:21 PM MDT,"Open all exit doors at the front of the theatre at the end of the performance to facilitate a quicker exit.  People muddle to open doors, never realizing they all work on exit.",Amazing Pops Season!!!  And the choices for the upcoming season look fabulous!!!!!
2019/06/10 6:27:31 PM MDT,I did not enjoy the final concert which was a requiem for the sad death of the Philharmonic's  cellist.,Classical music ( and NOT the Debussey opera nor the requiem for the cellist)
2019/06/10 6:32:33 PM MDT,Please don't cut the Friday night program to accommodate the outdoor patio post-concert events.,The concerts are high quality and give us a wide range of musical experiences. I love especially hearing individual musicians perform in small ensembles such as on the most recent program. I'm sad that there isn't more publicity in the Orange County Register ...no post concert review!
2019/06/10 6:34:14 PM MDT,I  think you have everything handeled!,I enjoyed the whole experience of being a subscriber!
2019/06/10 6:35:09 PM MDT,Provide greater flexibility when crafting subscription concert sets. ,
2019/06/10 6:38:46 PM MDT,"Have the ushers control the people taking flash photos, and the people who stand for the entire concert, blocking the view of those behind them", Great seats and friendly helpful personnel 
2019/06/10 6:39:29 PM MDT,"Please include ""Listeners' Guide to the Symphony Experience"" or something entitled along that line. In other words, list ""Preferred Audience Etiquette."" You have something like that on line, and it is solely needed.By all means please include the following:   No, it is not OK to talk during the performance. No, it is NOT OK to page through your program during the performance. Yes, you seat mates on both sides and in front of you as well as behind can most probably be disturbed. For sure they might even hear your pages turn. No, just because you jump up clapping frantically and shouting at the end of a performance does NOT make you more sophisticated. Nor does that make you a classical expert. Yes, it does block the vision of at least three rows behind you. Yes, it does hurt the eardrums of those less fortunate to sit around you. I love the Symphony, but honestly I can barely tolerate the rude people who seem to gravitate around me. (POPS also, but I don't expect too much better most of the time). The yelling right behind me and whistling really does hurt my ears. Submitted by Petrina Friede","Of course, the wonderful music, the orchestra, the conductors, the Symphony staff, many patrons whom I meed during the Box Circle get togethers, the Symphony League, and the noble purpose of the Symphony. "
2019/06/10 6:39:52 PM MDT,Perfect as is,Quality of performance & selection
2019/06/10 6:41:20 PM MDT,think about more light opera / musicals akin to Music Man,great performances of great music
2019/06/10 6:42:29 PM MDT,Hoping to move my seats a bit and still waiting to hear where we are located this year.,"A night out with my wife and along with the great quality of music some ""moments"" that were truly remarkable.... oblivion encore, rest with chorus... just beautiful..."
2019/06/10 6:43:09 PM MDT,"Your development department is going to hate me, but to make the experience better there needs to be more subscriber engagement activities. Finding a way to involve Box Circle subscribers with symphony (i.e. what volunteer opportunities are available based on subscriber's interest/abilities) AND make connections with fellow attendees (i.e. a once a month coffee date or cocktail hour to talk about the upcoming performance) would be beneficial to the symphony (a more involved donor is likely to give more money) and create a richer experience for the subscriber.","As a Box Club member, having the ability to email Kay, the Box Circle and VIP Concierge, about ticket availability or purchase additional seats was paramount. I loved having one point of contact and she is absolutely delightful to work with."
2019/06/10 6:44:08 PM MDT,Performers who do not express political views!    Free parking. ,Enjoy movies and plays accompanied with the Pacific Symphony.  Enjoy the variety of music provided by the Pacific Symphony. 
2019/06/10 6:44:11 PM MDT,Bags not being checked.,The ease of exchanging tickets.
2019/06/10 6:48:24 PM MDT,"Wish I knew how to get more there.  I am 100% in support of ALL John, Carl, and all are creatively doing â¤ï¸","Perpetuates my attendance, always glad Iâ€™ve attended even though I may not â€œfeelâ€ like it that day.  Also, the ability to change dates, easily."
2019/06/10 6:51:44 PM MDT,Make the print larger in the program.  ,The great variety of great music I hear.  Seeing Carl St. Clair conduct from memory.  
2019/06/10 7:04:38 PM MDT,None! ,Great seats in a great venue.
2019/06/10 7:05:42 PM MDT,Let me know by specific email when you're doing a casual Friday concert so I can change my ticket to another day.  I want the full program.,"Attending concerts on a regular basis, of course; the annual semi-staged opera; and feeling connected to the Pacific Symphony family, e.g., the program covers spotlighting various musicians and the newsletters, especially the one in which President John Forsyte shared with us the passing of beloved principal cellist, Timothy Landauer."
2019/06/10 7:05:54 PM MDT,None to offer ,Quality of the orchestra and programming. 
2019/06/10 7:10:57 PM MDT,Big screen at each concert,Carl !!!!
2019/06/10 7:16:21 PM MDT,Lower price,Music
2019/06/10 7:16:56 PM MDT,I am thoroughly satisified with everything!  I still wish we could sit in the choir area in back of the orchestra!,Attending the concerts for the 8th year!
2019/06/10 7:23:10 PM MDT,You are doing fine. We always enjoy seeing the orchestra on the big screen above.,Uplifting
2019/06/10 7:24:25 PM MDT,I am happy as is!,Wonderful performances and anticipation for the whole season
2019/06/10 7:25:33 PM MDT,Nothing.  Like the extended pay plan with monthly payments.,"Wonderful music, particularly the first half with classical masterpieces."
2019/06/10 7:27:57 PM MDT,"There are too many people on their phones, recording and texting. It's very distracting. ",The variety.
2019/06/10 7:32:55 PM MDT,Somehow make concert goers understand how rude it is to take pictures and use cell phones when the artists are performing.....go to an outdoor concert!  This year the ushers were faster and better on their feet in asking rude attendees to drop the phone.  Too bad you can't do something to interfer with cell phone working in the concert hall.,"The variety of the programs, the introduction of the pieces."
2019/06/10 7:41:05 PM MDT,,The variety 
2019/06/10 7:43:07 PM MDT,Pre show lobby entertainment like the carolers at Christmas.,We love our amazing seats that are so close and make us feel so connected to the Symphony and the special guests.
2019/06/10 7:44:18 PM MDT,We have enjoyed every minute of our subscription membership.,Ease of exchange program
2019/06/10 7:45:17 PM MDT,We did not enjoy the Music Man...would have preferred My Fair Lady,The Pops series
2019/06/10 7:55:06 PM MDT,"We always enjoy our evenings at the Pacific Symphony. Only improvement might be expediting issuance of tickets earlier in the year, to solidify dates, but it is a minor question, really. Oh, one thing..please supply champagne flutes with champagne at intermission, even if theyâ€™re plastic!","The ability to subscribe to The POPs, (Kaufman is wonderful with his relations to movie music and local music), and still choose other programs as we want to. Keep up the good work! "
2019/06/10 7:58:40 PM MDT,Enjoyed all from the time we hit the parking  (Augustine -â€œAuggieâ€ and are assisted by your courteous friendly valet staff to the ushers and the wonderful performances,"All â€”-everyoneâ€™s helpful friendly attitude and the flexibility to change or credit tickets. Staff in reservations always so pleasant, and helpful.Susan wish you continued success. Mr St Clair and musicians are fantastic so fortunate to have them."
2019/06/10 7:59:44 PM MDT,Loved the Music Man type of performance - Would like to see something like that again.,Having our same seats - knowing we have all the performances booked
2019/06/10 8:02:33 PM MDT,More tables in the foyer for drinks and conversation.,"The actual performances and music selection.

"
2019/06/10 8:02:49 PM MDT,More tables in the foyer for drinks and conversation.,"The actual performances and music selection.

"
2019/06/10 8:10:13 PM MDT,Need better communication when you have ticket deals.,Access to good seats for a reasonable price.
